value,value_label,cohort,variable,variable_label
,.v=spouse nr,HRS,r3penic1,r3penic1:w3 pen #1 continue after death
,.z=no pension income,HRS,r3penic1,r3penic1:w3 pen #1 continue after death
1,1.stop,HRS,r4penic1,r4penic1:w4 pen #1 continue after death
2,2.continue unchanged,HRS,r4penic1,r4penic1:w4 pen #1 continue after death
3,3.continue at reduced level,HRS,r4penic1,r4penic1:w4 pen #1 continue after death
4,4.lump sum paid to beneficiary,HRS,r4penic1,r4penic1:w4 pen #1 continue after death
7,7.other,HRS,r4penic1,r4penic1:w4 pen #1 continue after death
,.d=dk,HRS,r4penic1,r4penic1:w4 pen #1 continue after death
,".j=web interview, missing",HRS,r4penic1,r4penic1:w4 pen #1 continue after death
,.m=oth missing,HRS,r4penic1,r4penic1:w4 pen #1 continue after death
,.q=not asked this wv,HRS,r4penic1,r4penic1:w4 pen #1 continue after death
,.r=rf,HRS,r4penic1,r4penic1:w4 pen #1 continue after death
,.u=unmarried,HRS,r4penic1,r4penic1:w4 pen #1 continue after death
,.v=spouse nr,HRS,r4penic1,r4penic1:w4 pen #1 continue after death
,.z=no pension income,HRS,r4penic1,r4penic1:w4 pen #1 continue after death
1,1.stop,HRS,r5penic1,r5penic1:w5 pen #1 continue after death
2,2.continue unchanged,HRS,r5penic1,r5penic1:w5 pen #1 continue after death
3,3.continue at reduced level,HRS,r5penic1,r5penic1:w5 pen #1 continue after death
4,4.lump sum paid to beneficiary,HRS,r5penic1,r5penic1:w5 pen #1 continue after death
7,7.other,HRS,r5penic1,r5penic1:w5 pen #1 continue after death
,.d=dk,HRS,r5penic1,r5penic1:w5 pen #1 continue after death
,".j=web interview, missing",HRS,r5penic1,r5penic1:w5 pen #1 continue after death
,.m=oth missing,HRS,r5penic1,r5penic1:w5 pen #1 continue after death
,.q=not asked this wv,HRS,r5penic1,r5penic1:w5 pen #1 continue after death
,.r=rf,HRS,r5penic1,r5penic1:w5 pen #1 continue after death
,.u=unmarried,HRS,r5penic1,r5penic1:w5 pen #1 continue after death
,.v=spouse nr,HRS,r5penic1,r5penic1:w5 pen #1 continue after death
,.z=no pension income,HRS,r5penic1,r5penic1:w5 pen #1 continue after death
1,1.stop,HRS,r6penic1,r6penic1:w6 pen #1 continue after death
2,2.continue unchanged,HRS,r6penic1,r6penic1:w6 pen #1 continue after death
3,3.continue at reduced level,HRS,r6penic1,r6penic1:w6 pen #1 continue after death
4,4.lump sum paid to beneficiary,HRS,r6penic1,r6penic1:w6 pen #1 continue after death
7,7.other,HRS,r6penic1,r6penic1:w6 pen #1 continue after death
,.d=dk,HRS,r6penic1,r6penic1:w6 pen #1 continue after death
,".j=web interview, missing",HRS,r6penic1,r6penic1:w6 pen #1 continue after death
,.m=oth missing,HRS,r6penic1,r6penic1:w6 pen #1 continue after death
,.q=not asked this wv,HRS,r6penic1,r6penic1:w6 pen #1 continue after death
,.r=rf,HRS,r6penic1,r6penic1:w6 pen #1 continue after death
,.u=unmarried,HRS,r6penic1,r6penic1:w6 pen #1 continue after death
,.v=spouse nr,HRS,r6penic1,r6penic1:w6 pen #1 continue after death
,.z=no pension income,HRS,r6penic1,r6penic1:w6 pen #1 continue after death
1,1.stop,HRS,r7penic1,r7penic1:w7 pen #1 continue after death
2,2.continue unchanged,HRS,r7penic1,r7penic1:w7 pen #1 continue after death
3,3.continue at reduced level,HRS,r7penic1,r7penic1:w7 pen #1 continue after death
4,4.lump sum paid to beneficiary,HRS,r7penic1,r7penic1:w7 pen #1 continue after death
7,7.other,HRS,r7penic1,r7penic1:w7 pen #1 continue after death
,.d=dk,HRS,r7penic1,r7penic1:w7 pen #1 continue after death
,".j=web interview, missing",HRS,r7penic1,r7penic1:w7 pen #1 continue after death
,.m=oth missing,HRS,r7penic1,r7penic1:w7 pen #1 continue after death
,.q=not asked this wv,HRS,r7penic1,r7penic1:w7 pen #1 continue after death
,.r=rf,HRS,r7penic1,r7penic1:w7 pen #1 continue after death
,.u=unmarried,HRS,r7penic1,r7penic1:w7 pen #1 continue after death
,.v=spouse nr,HRS,r7penic1,r7penic1:w7 pen #1 continue after death
,.z=no pension income,HRS,r7penic1,r7penic1:w7 pen #1 continue after death
1,1.stop,HRS,r8penic1,r8penic1:w8 pen #1 continue after death
2,2.continue unchanged,HRS,r8penic1,r8penic1:w8 pen #1 continue after death
3,3.continue at reduced level,HRS,r8penic1,r8penic1:w8 pen #1 continue after death
4,4.lump sum paid to beneficiary,HRS,r8penic1,r8penic1:w8 pen #1 continue after death
7,7.other,HRS,r8penic1,r8penic1:w8 pen #1 continue after death
,.d=dk,HRS,r8penic1,r8penic1:w8 pen #1 continue after death
,".j=web interview, missing",HRS,r8penic1,r8penic1:w8 pen #1 continue after death
,.m=oth missing,HRS,r8penic1,r8penic1:w8 pen #1 continue after death
,.q=not asked this wv,HRS,r8penic1,r8penic1:w8 pen #1 continue after death
,.r=rf,HRS,r8penic1,r8penic1:w8 pen #1 continue after death
,.u=unmarried,HRS,r8penic1,r8penic1:w8 pen #1 continue after death
,.v=spouse nr,HRS,r8penic1,r8penic1:w8 pen #1 continue after death
,.z=no pension income,HRS,r8penic1,r8penic1:w8 pen #1 continue after death
1,1.stop,HRS,r9penic1,r9penic1:w9 pen #1 continue after death
2,2.continue unchanged,HRS,r9penic1,r9penic1:w9 pen #1 continue after death
3,3.continue at reduced level,HRS,r9penic1,r9penic1:w9 pen #1 continue after death
4,4.lump sum paid to beneficiary,HRS,r9penic1,r9penic1:w9 pen #1 continue after death
7,7.other,HRS,r9penic1,r9penic1:w9 pen #1 continue after death
,.d=dk,HRS,r9penic1,r9penic1:w9 pen #1 continue after death
,".j=web interview, missing",HRS,r9penic1,r9penic1:w9 pen #1 continue after death
,.m=oth missing,HRS,r9penic1,r9penic1:w9 pen #1 continue after death
,.q=not asked this wv,HRS,r9penic1,r9penic1:w9 pen #1 continue after death
,.r=rf,HRS,r9penic1,r9penic1:w9 pen #1 continue after death
,.u=unmarried,HRS,r9penic1,r9penic1:w9 pen #1 continue after death
,.v=spouse nr,HRS,r9penic1,r9penic1:w9 pen #1 continue after death
,.z=no pension income,HRS,r9penic1,r9penic1:w9 pen #1 continue after death
1,1.stop,HRS,r10penic1,r10penic1:w10 pen #1 continue after death
2,2.continue unchanged,HRS,r10penic1,r10penic1:w10 pen #1 continue after death
3,3.continue at reduced level,HRS,r10penic1,r10penic1:w10 pen #1 continue after death
4,4.lump sum paid to beneficiary,HRS,r10penic1,r10penic1:w10 pen #1 continue after death
7,7.other,HRS,r10penic1,r10penic1:w10 pen #1 continue after death
,.d=dk,HRS,r10penic1,r10penic1:w10 pen #1 continue after death
,".j=web interview, missing",HRS,r10penic1,r10penic1:w10 pen #1 continue after death
,.m=oth missing,HRS,r10penic1,r10penic1:w10 pen #1 continue after death
,.q=not asked this wv,HRS,r10penic1,r10penic1:w10 pen #1 continue after death
,.r=rf,HRS,r10penic1,r10penic1:w10 pen #1 continue after death
,.u=unmarried,HRS,r10penic1,r10penic1:w10 pen #1 continue after death
,.v=spouse nr,HRS,r10penic1,r10penic1:w10 pen #1 continue after death
,.z=no pension income,HRS,r10penic1,r10penic1:w10 pen #1 continue after death
1,1.stop,HRS,r11penic1,r11penic1:w11 pen #1 continue after death
2,2.continue unchanged,HRS,r11penic1,r11penic1:w11 pen #1 continue after death
3,3.continue at reduced level,HRS,r11penic1,r11penic1:w11 pen #1 continue after death
4,4.lump sum paid to beneficiary,HRS,r11penic1,r11penic1:w11 pen #1 continue after death
7,7.other,HRS,r11penic1,r11penic1:w11 pen #1 continue after death
,.d=dk,HRS,r11penic1,r11penic1:w11 pen #1 continue after death
,".j=web interview, missing",HRS,r11penic1,r11penic1:w11 pen #1 continue after death
,.m=oth missing,HRS,r11penic1,r11penic1:w11 pen #1 continue after death
,.q=not asked this wv,HRS,r11penic1,r11penic1:w11 pen #1 continue after death
,.r=rf,HRS,r11penic1,r11penic1:w11 pen #1 continue after death
,.u=unmarried,HRS,r11penic1,r11penic1:w11 pen #1 continue after death
,.v=spouse nr,HRS,r11penic1,r11penic1:w11 pen #1 continue after death
,.z=no pension income,HRS,r11penic1,r11penic1:w11 pen #1 continue after death
1,1.stop,HRS,r12penic1,r12penic1:w12 pen #1 continue after death
2,2.continue unchanged,HRS,r12penic1,r12penic1:w12 pen #1 continue after death
3,3.continue at reduced level,HRS,r12penic1,r12penic1:w12 pen #1 continue after death
4,4.lump sum paid to beneficiary,HRS,r12penic1,r12penic1:w12 pen #1 continue after death
7,7.other,HRS,r12penic1,r12penic1:w12 pen #1 continue after death
,.d=dk,HRS,r12penic1,r12penic1:w12 pen #1 continue after death
,".j=web interview, missing",HRS,r12penic1,r12penic1:w12 pen #1 continue after death
,.m=oth missing,HRS,r12penic1,r12penic1:w12 pen #1 continue after death
,.q=not asked this wv,HRS,r12penic1,r12penic1:w12 pen #1 continue after death
,.r=rf,HRS,r12penic1,r12penic1:w12 pen #1 continue after death
,.u=unmarried,HRS,r12penic1,r12penic1:w12 pen #1 continue after death
,.v=spouse nr,HRS,r12penic1,r12penic1:w12 pen #1 continue after death
,.z=no pension income,HRS,r12penic1,r12penic1:w12 pen #1 continue after death
1,1.stop,HRS,r13penic1,r13penic1:w13 pen #1 continue after death
2,2.continue unchanged,HRS,r13penic1,r13penic1:w13 pen #1 continue after death
3,3.continue at reduced level,HRS,r13penic1,r13penic1:w13 pen #1 continue after death
4,4.lump sum paid to beneficiary,HRS,r13penic1,r13penic1:w13 pen #1 continue after death
7,7.other,HRS,r13penic1,r13penic1:w13 pen #1 continue after death
,.d=dk,HRS,r13penic1,r13penic1:w13 pen #1 continue after death
,".j=web interview, missing",HRS,r13penic1,r13penic1:w13 pen #1 continue after death
,.m=oth missing,HRS,r13penic1,r13penic1:w13 pen #1 continue after death
,.q=not asked this wv,HRS,r13penic1,r13penic1:w13 pen #1 continue after death
,.r=rf,HRS,r13penic1,r13penic1:w13 pen #1 continue after death
,.u=unmarried,HRS,r13penic1,r13penic1:w13 pen #1 continue after death
,.v=spouse nr,HRS,r13penic1,r13penic1:w13 pen #1 continue after death
,.z=no pension income,HRS,r13penic1,r13penic1:w13 pen #1 continue after death
1,1.stop,HRS,r14penic1,r14penic1:w14 pen #1 continue after death
2,2.continue unchanged,HRS,r14penic1,r14penic1:w14 pen #1 continue after death
3,3.continue at reduced level,HRS,r14penic1,r14penic1:w14 pen #1 continue after death
4,4.lump sum paid to beneficiary,HRS,r14penic1,r14penic1:w14 pen #1 continue after death
7,7.other,HRS,r14penic1,r14penic1:w14 pen #1 continue after death
,.d=dk,HRS,r14penic1,r14penic1:w14 pen #1 continue after death
,".j=web interview, missing",HRS,r14penic1,r14penic1:w14 pen #1 continue after death
,.m=oth missing,HRS,r14penic1,r14penic1:w14 pen #1 continue after death
,.q=not asked this wv,HRS,r14penic1,r14penic1:w14 pen #1 continue after death
,.r=rf,HRS,r14penic1,r14penic1:w14 pen #1 continue after death
,.u=unmarried,HRS,r14penic1,r14penic1:w14 pen #1 continue after death
,.v=spouse nr,HRS,r14penic1,r14penic1:w14 pen #1 continue after death
,.z=no pension income,HRS,r14penic1,r14penic1:w14 pen #1 continue after death
1,1.stop,HRS,r15penic1,r15penic1:w15 pen #1 continue after death
2,2.continue unchanged,HRS,r15penic1,r15penic1:w15 pen #1 continue after death
3,3.continue at reduced level,HRS,r15penic1,r15penic1:w15 pen #1 continue after death
4,4.lump sum paid to beneficiary,HRS,r15penic1,r15penic1:w15 pen #1 continue after death
7,7.other,HRS,r15penic1,r15penic1:w15 pen #1 continue after death
,.d=dk,HRS,r15penic1,r15penic1:w15 pen #1 continue after death
,".j=web interview, missing",HRS,r15penic1,r15penic1:w15 pen #1 continue after death
,.m=oth missing,HRS,r15penic1,r15penic1:w15 pen #1 continue after death
,.q=not asked this wv,HRS,r15penic1,r15penic1:w15 pen #1 continue after death
,.r=rf,HRS,r15penic1,r15penic1:w15 pen #1 continue after death
,.u=unmarried,HRS,r15penic1,r15penic1:w15 pen #1 continue after death
,.v=spouse nr,HRS,r15penic1,r15penic1:w15 pen #1 continue after death
,.z=no pension income,HRS,r15penic1,r15penic1:w15 pen #1 continue after death
1,1.stop,HRS,r16penic1,r16penic1:w16 pen #1 continue after death
2,2.continue unchanged,HRS,r16penic1,r16penic1:w16 pen #1 continue after death
3,3.continue at reduced level,HRS,r16penic1,r16penic1:w16 pen #1 continue after death
4,4.lump sum paid to beneficiary,HRS,r16penic1,r16penic1:w16 pen #1 continue after death
7,7.other,HRS,r16penic1,r16penic1:w16 pen #1 continue after death
,.d=dk,HRS,r16penic1,r16penic1:w16 pen #1 continue after death
,".j=web interview, missing",HRS,r16penic1,r16penic1:w16 pen #1 continue after death
,.m=oth missing,HRS,r16penic1,r16penic1:w16 pen #1 continue after death
,.q=not asked this wv,HRS,r16penic1,r16penic1:w16 pen #1 continue after death
,.r=rf,HRS,r16penic1,r16penic1:w16 pen #1 continue after death
,.u=unmarried,HRS,r16penic1,r16penic1:w16 pen #1 continue after death
,.v=spouse nr,HRS,r16penic1,r16penic1:w16 pen #1 continue after death
,.z=no pension income,HRS,r16penic1,r16penic1:w16 pen #1 continue after death
1,1.stop,HRS,r2penic2,r2penic2:w2 pen #2 continue after death
2,2.continue unchanged,HRS,r2penic2,r2penic2:w2 pen #2 continue after death
3,3.continue at reduced level,HRS,r2penic2,r2penic2:w2 pen #2 continue after death
4,4.lump sum paid to beneficiary,HRS,r2penic2,r2penic2:w2 pen #2 continue after death
7,7.other,HRS,r2penic2,r2penic2:w2 pen #2 continue after death
,.d=dk,HRS,r2penic2,r2penic2:w2 pen #2 continue after death
,".j=web interview, missing",HRS,r2penic2,r2penic2:w2 pen #2 continue after death
,.m=oth missing,HRS,r2penic2,r2penic2:w2 pen #2 continue after death
,.q=not asked this wv,HRS,r2penic2,r2penic2:w2 pen #2 continue after death
,.r=rf,HRS,r2penic2,r2penic2:w2 pen #2 continue after death
,.u=unmarried,HRS,r2penic2,r2penic2:w2 pen #2 continue after death
,.v=spouse nr,HRS,r2penic2,r2penic2:w2 pen #2 continue after death
,.z=no pension income,HRS,r2penic2,r2penic2:w2 pen #2 continue after death
1,1.stop,HRS,r3penic2,r3penic2:w3 pen #2 continue after death
2,2.continue unchanged,HRS,r3penic2,r3penic2:w3 pen #2 continue after death
3,3.continue at reduced level,HRS,r3penic2,r3penic2:w3 pen #2 continue after death
4,4.lump sum paid to beneficiary,HRS,r3penic2,r3penic2:w3 pen #2 continue after death
7,7.other,HRS,r3penic2,r3penic2:w3 pen #2 continue after death
,.d=dk,HRS,r3penic2,r3penic2:w3 pen #2 continue after death
,".j=web interview, missing",HRS,r3penic2,r3penic2:w3 pen #2 continue after death
,.m=oth missing,HRS,r3penic2,r3penic2:w3 pen #2 continue after death
,.q=not asked this wv,HRS,r3penic2,r3penic2:w3 pen #2 continue after death
,.r=rf,HRS,r3penic2,r3penic2:w3 pen #2 continue after death
,.u=unmarried,HRS,r3penic2,r3penic2:w3 pen #2 continue after death
,.v=spouse nr,HRS,r3penic2,r3penic2:w3 pen #2 continue after death
,.z=no pension income,HRS,r3penic2,r3penic2:w3 pen #2 continue after death
1,1.stop,HRS,r4penic2,r4penic2:w4 pen #2 continue after death
2,2.continue unchanged,HRS,r4penic2,r4penic2:w4 pen #2 continue after death
3,3.continue at reduced level,HRS,r4penic2,r4penic2:w4 pen #2 continue after death
4,4.lump sum paid to beneficiary,HRS,r4penic2,r4penic2:w4 pen #2 continue after death
7,7.other,HRS,r4penic2,r4penic2:w4 pen #2 continue after death
,.d=dk,HRS,r4penic2,r4penic2:w4 pen #2 continue after death
,".j=web interview, missing",HRS,r4penic2,r4penic2:w4 pen #2 continue after death
,.m=oth missing,HRS,r4penic2,r4penic2:w4 pen #2 continue after death
,.q=not asked this wv,HRS,r4penic2,r4penic2:w4 pen #2 continue after death
,.r=rf,HRS,r4penic2,r4penic2:w4 pen #2 continue after death
,.u=unmarried,HRS,r4penic2,r4penic2:w4 pen #2 continue after death
,.v=spouse nr,HRS,r4penic2,r4penic2:w4 pen #2 continue after death
,.z=no pension income,HRS,r4penic2,r4penic2:w4 pen #2 continue after death
1,1.stop,HRS,r5penic2,r5penic2:w5 pen #2 continue after death
2,2.continue unchanged,HRS,r5penic2,r5penic2:w5 pen #2 continue after death
3,3.continue at reduced level,HRS,r5penic2,r5penic2:w5 pen #2 continue after death
4,4.lump sum paid to beneficiary,HRS,r5penic2,r5penic2:w5 pen #2 continue after death
7,7.other,HRS,r5penic2,r5penic2:w5 pen #2 continue after death
,.d=dk,HRS,r5penic2,r5penic2:w5 pen #2 continue after death
,".j=web interview, missing",HRS,r5penic2,r5penic2:w5 pen #2 continue after death
,.m=oth missing,HRS,r5penic2,r5penic2:w5 pen #2 continue after death
,.q=not asked this wv,HRS,r5penic2,r5penic2:w5 pen #2 continue after death
,.r=rf,HRS,r5penic2,r5penic2:w5 pen #2 continue after death
,.u=unmarried,HRS,r5penic2,r5penic2:w5 pen #2 continue after death
,.v=spouse nr,HRS,r5penic2,r5penic2:w5 pen #2 continue after death
,.z=no pension income,HRS,r5penic2,r5penic2:w5 pen #2 continue after death
1,1.stop,HRS,r6penic2,r6penic2:w6 pen #2 continue after death
2,2.continue unchanged,HRS,r6penic2,r6penic2:w6 pen #2 continue after death
3,3.continue at reduced level,HRS,r6penic2,r6penic2:w6 pen #2 continue after death
4,4.lump sum paid to beneficiary,HRS,r6penic2,r6penic2:w6 pen #2 continue after death
7,7.other,HRS,r6penic2,r6penic2:w6 pen #2 continue after death
,.d=dk,HRS,r6penic2,r6penic2:w6 pen #2 continue after death
,".j=web interview, missing",HRS,r6penic2,r6penic2:w6 pen #2 continue after death
,.m=oth missing,HRS,r6penic2,r6penic2:w6 pen #2 continue after death
,.q=not asked this wv,HRS,r6penic2,r6penic2:w6 pen #2 continue after death
,.r=rf,HRS,r6penic2,r6penic2:w6 pen #2 continue after death
,.u=unmarried,HRS,r6penic2,r6penic2:w6 pen #2 continue after death
,.v=spouse nr,HRS,r6penic2,r6penic2:w6 pen #2 continue after death
,.z=no pension income,HRS,r6penic2,r6penic2:w6 pen #2 continue after death
1,1.stop,HRS,r7penic2,r7penic2:w7 pen #2 continue after death
2,2.continue unchanged,HRS,r7penic2,r7penic2:w7 pen #2 continue after death
3,3.continue at reduced level,HRS,r7penic2,r7penic2:w7 pen #2 continue after death
4,4.lump sum paid to beneficiary,HRS,r7penic2,r7penic2:w7 pen #2 continue after death
7,7.other,HRS,r7penic2,r7penic2:w7 pen #2 continue after death
,.d=dk,HRS,r7penic2,r7penic2:w7 pen #2 continue after death
,".j=web interview, missing",HRS,r7penic2,r7penic2:w7 pen #2 continue after death
,.m=oth missing,HRS,r7penic2,r7penic2:w7 pen #2 continue after death
,.q=not asked this wv,HRS,r7penic2,r7penic2:w7 pen #2 continue after death
,.r=rf,HRS,r7penic2,r7penic2:w7 pen #2 continue after death
,.u=unmarried,HRS,r7penic2,r7penic2:w7 pen #2 continue after death
,.v=spouse nr,HRS,r7penic2,r7penic2:w7 pen #2 continue after death
,.z=no pension income,HRS,r7penic2,r7penic2:w7 pen #2 continue after death
1,1.stop,HRS,r8penic2,r8penic2:w8 pen #2 continue after death
2,2.continue unchanged,HRS,r8penic2,r8penic2:w8 pen #2 continue after death
3,3.continue at reduced level,HRS,r8penic2,r8penic2:w8 pen #2 continue after death
4,4.lump sum paid to beneficiary,HRS,r8penic2,r8penic2:w8 pen #2 continue after death
7,7.other,HRS,r8penic2,r8penic2:w8 pen #2 continue after death
,.d=dk,HRS,r8penic2,r8penic2:w8 pen #2 continue after death
,".j=web interview, missing",HRS,r8penic2,r8penic2:w8 pen #2 continue after death
,.m=oth missing,HRS,r8penic2,r8penic2:w8 pen #2 continue after death
,.q=not asked this wv,HRS,r8penic2,r8penic2:w8 pen #2 continue after death
,.r=rf,HRS,r8penic2,r8penic2:w8 pen #2 continue after death
,.u=unmarried,HRS,r8penic2,r8penic2:w8 pen #2 continue after death
,.v=spouse nr,HRS,r8penic2,r8penic2:w8 pen #2 continue after death
,.z=no pension income,HRS,r8penic2,r8penic2:w8 pen #2 continue after death
1,1.stop,HRS,r9penic2,r9penic2:w9 pen #2 continue after death
2,2.continue unchanged,HRS,r9penic2,r9penic2:w9 pen #2 continue after death
3,3.continue at reduced level,HRS,r9penic2,r9penic2:w9 pen #2 continue after death
4,4.lump sum paid to beneficiary,HRS,r9penic2,r9penic2:w9 pen #2 continue after death
7,7.other,HRS,r9penic2,r9penic2:w9 pen #2 continue after death
,.d=dk,HRS,r9penic2,r9penic2:w9 pen #2 continue after death
,".j=web interview, missing",HRS,r9penic2,r9penic2:w9 pen #2 continue after death
,.m=oth missing,HRS,r9penic2,r9penic2:w9 pen #2 continue after death
,.q=not asked this wv,HRS,r9penic2,r9penic2:w9 pen #2 continue after death
,.r=rf,HRS,r9penic2,r9penic2:w9 pen #2 continue after death
,.u=unmarried,HRS,r9penic2,r9penic2:w9 pen #2 continue after death
,.v=spouse nr,HRS,r9penic2,r9penic2:w9 pen #2 continue after death
,.z=no pension income,HRS,r9penic2,r9penic2:w9 pen #2 continue after death
1,1.stop,HRS,r10penic2,r10penic2:w10 pen #2 continue after death
2,2.continue unchanged,HRS,r10penic2,r10penic2:w10 pen #2 continue after death
3,3.continue at reduced level,HRS,r10penic2,r10penic2:w10 pen #2 continue after death
4,4.lump sum paid to beneficiary,HRS,r10penic2,r10penic2:w10 pen #2 continue after death
7,7.other,HRS,r10penic2,r10penic2:w10 pen #2 continue after death
,.d=dk,HRS,r10penic2,r10penic2:w10 pen #2 continue after death
,".j=web interview, missing",HRS,r10penic2,r10penic2:w10 pen #2 continue after death
,.m=oth missing,HRS,r10penic2,r10penic2:w10 pen #2 continue after death
,.q=not asked this wv,HRS,r10penic2,r10penic2:w10 pen #2 continue after death
,.r=rf,HRS,r10penic2,r10penic2:w10 pen #2 continue after death
,.u=unmarried,HRS,r10penic2,r10penic2:w10 pen #2 continue after death
,.v=spouse nr,HRS,r10penic2,r10penic2:w10 pen #2 continue after death
,.z=no pension income,HRS,r10penic2,r10penic2:w10 pen #2 continue after death
1,1.stop,HRS,r11penic2,r11penic2:w11 pen #2 continue after death
2,2.continue unchanged,HRS,r11penic2,r11penic2:w11 pen #2 continue after death
3,3.continue at reduced level,HRS,r11penic2,r11penic2:w11 pen #2 continue after death
4,4.lump sum paid to beneficiary,HRS,r11penic2,r11penic2:w11 pen #2 continue after death
7,7.other,HRS,r11penic2,r11penic2:w11 pen #2 continue after death
,.d=dk,HRS,r11penic2,r11penic2:w11 pen #2 continue after death
,".j=web interview, missing",HRS,r11penic2,r11penic2:w11 pen #2 continue after death
,.m=oth missing,HRS,r11penic2,r11penic2:w11 pen #2 continue after death
,.q=not asked this wv,HRS,r11penic2,r11penic2:w11 pen #2 continue after death
,.r=rf,HRS,r11penic2,r11penic2:w11 pen #2 continue after death
,.u=unmarried,HRS,r11penic2,r11penic2:w11 pen #2 continue after death
,.v=spouse nr,HRS,r11penic2,r11penic2:w11 pen #2 continue after death
,.z=no pension income,HRS,r11penic2,r11penic2:w11 pen #2 continue after death
1,1.stop,HRS,r12penic2,r12penic2:w12 pen #2 continue after death
2,2.continue unchanged,HRS,r12penic2,r12penic2:w12 pen #2 continue after death
3,3.continue at reduced level,HRS,r12penic2,r12penic2:w12 pen #2 continue after death
4,4.lump sum paid to beneficiary,HRS,r12penic2,r12penic2:w12 pen #2 continue after death
7,7.other,HRS,r12penic2,r12penic2:w12 pen #2 continue after death
,.d=dk,HRS,r12penic2,r12penic2:w12 pen #2 continue after death
,".j=web interview, missing",HRS,r12penic2,r12penic2:w12 pen #2 continue after death
,.m=oth missing,HRS,r12penic2,r12penic2:w12 pen #2 continue after death
,.q=not asked this wv,HRS,r12penic2,r12penic2:w12 pen #2 continue after death
,.r=rf,HRS,r12penic2,r12penic2:w12 pen #2 continue after death
,.u=unmarried,HRS,r12penic2,r12penic2:w12 pen #2 continue after death
,.v=spouse nr,HRS,r12penic2,r12penic2:w12 pen #2 continue after death
,.z=no pension income,HRS,r12penic2,r12penic2:w12 pen #2 continue after death
1,1.stop,HRS,r13penic2,r13penic2:w13 pen #2 continue after death
2,2.continue unchanged,HRS,r13penic2,r13penic2:w13 pen #2 continue after death
3,3.continue at reduced level,HRS,r13penic2,r13penic2:w13 pen #2 continue after death
4,4.lump sum paid to beneficiary,HRS,r13penic2,r13penic2:w13 pen #2 continue after death
7,7.other,HRS,r13penic2,r13penic2:w13 pen #2 continue after death
,.d=dk,HRS,r13penic2,r13penic2:w13 pen #2 continue after death
,".j=web interview, missing",HRS,r13penic2,r13penic2:w13 pen #2 continue after death
,.m=oth missing,HRS,r13penic2,r13penic2:w13 pen #2 continue after death
,.q=not asked this wv,HRS,r13penic2,r13penic2:w13 pen #2 continue after death
,.r=rf,HRS,r13penic2,r13penic2:w13 pen #2 continue after death
,.u=unmarried,HRS,r13penic2,r13penic2:w13 pen #2 continue after death
,.v=spouse nr,HRS,r13penic2,r13penic2:w13 pen #2 continue after death
,.z=no pension income,HRS,r13penic2,r13penic2:w13 pen #2 continue after death
1,1.stop,HRS,r14penic2,r14penic2:w14 pen #2 continue after death
2,2.continue unchanged,HRS,r14penic2,r14penic2:w14 pen #2 continue after death
3,3.continue at reduced level,HRS,r14penic2,r14penic2:w14 pen #2 continue after death
4,4.lump sum paid to beneficiary,HRS,r14penic2,r14penic2:w14 pen #2 continue after death
7,7.other,HRS,r14penic2,r14penic2:w14 pen #2 continue after death
,.d=dk,HRS,r14penic2,r14penic2:w14 pen #2 continue after death
,".j=web interview, missing",HRS,r14penic2,r14penic2:w14 pen #2 continue after death
,.m=oth missing,HRS,r14penic2,r14penic2:w14 pen #2 continue after death
,.q=not asked this wv,HRS,r14penic2,r14penic2:w14 pen #2 continue after death
,.r=rf,HRS,r14penic2,r14penic2:w14 pen #2 continue after death
,.u=unmarried,HRS,r14penic2,r14penic2:w14 pen #2 continue after death
,.v=spouse nr,HRS,r14penic2,r14penic2:w14 pen #2 continue after death
,.z=no pension income,HRS,r14penic2,r14penic2:w14 pen #2 continue after death
1,1.stop,HRS,r15penic2,r15penic2:w15 pen #2 continue after death
2,2.continue unchanged,HRS,r15penic2,r15penic2:w15 pen #2 continue after death
3,3.continue at reduced level,HRS,r15penic2,r15penic2:w15 pen #2 continue after death
4,4.lump sum paid to beneficiary,HRS,r15penic2,r15penic2:w15 pen #2 continue after death
7,7.other,HRS,r15penic2,r15penic2:w15 pen #2 continue after death
,.d=dk,HRS,r15penic2,r15penic2:w15 pen #2 continue after death
,".j=web interview, missing",HRS,r15penic2,r15penic2:w15 pen #2 continue after death
,.m=oth missing,HRS,r15penic2,r15penic2:w15 pen #2 continue after death
,.q=not asked this wv,HRS,r15penic2,r15penic2:w15 pen #2 continue after death
,.r=rf,HRS,r15penic2,r15penic2:w15 pen #2 continue after death
,.u=unmarried,HRS,r15penic2,r15penic2:w15 pen #2 continue after death
,.v=spouse nr,HRS,r15penic2,r15penic2:w15 pen #2 continue after death
,.z=no pension income,HRS,r15penic2,r15penic2:w15 pen #2 continue after death
1,1.stop,HRS,r16penic2,r16penic2:w16 pen #2 continue after death
2,2.continue unchanged,HRS,r16penic2,r16penic2:w16 pen #2 continue after death
3,3.continue at reduced level,HRS,r16penic2,r16penic2:w16 pen #2 continue after death
4,4.lump sum paid to beneficiary,HRS,r16penic2,r16penic2:w16 pen #2 continue after death
7,7.other,HRS,r16penic2,r16penic2:w16 pen #2 continue after death
,.d=dk,HRS,r16penic2,r16penic2:w16 pen #2 continue after death
,".j=web interview, missing",HRS,r16penic2,r16penic2:w16 pen #2 continue after death
,.m=oth missing,HRS,r16penic2,r16penic2:w16 pen #2 continue after death
